1,1,1
1,2,0.949
1,3,81.7
1,4,12.7
1,5,67614
1,6,5
1,7,0
1,8,0.77
1,9,0.24
1,10,0.21
1,11,0.45
1,12,0.993
1,13,1
1,14,0.944
1,15,0.951
1,16,83.7
1,17,79.7
1,18,12.8
1,19,12.7
1,20,59800
1,21,75314
1,22,39.6
1,23,96.1
1,24,94.6
1,25,61.2
1,26,5.1999998093
1,27,5.9000000954
1,28,0.6
1,29,1.3
1,30,80.5
1,31,0.3
1,32,3.4000000954
1,33,0.9
1,34,39.1
1,35,27.3
1,36,24.9
1,37,1.8
1,38,1.8
1,39,NULL
1,40,1
1,41,6
1,42,NULL
1,43,2
1,44,2.6
1,45,44
1,46,69
1,47,NULL
1,48,0.2
1,49,NULL
1,50,23.9
1,51,42.8
1,52,8.3
1,53,62.2
1,54,64.9
1,55,2.1
1,56,77
1,57,4.1
1,58,10.1
1,59,5.5
1,60,5.3
1,61,NULL
1,62,NULL
1,63,NULL
1,64,100
1,65,96.8
1,66,-0.8000000119
1,67,0.898
1,68,5.4
1,69,0
1,70,5.4
1,71,3.3
1,72,0.918
1,73,2.4
1,74,0.894
1,75,10.4
1,76,0.882
1,77,3.8
1,78,0.9
1,79,25.9
2,1,2
2,2,0.939
2,3,82.5
2,4,13.2
2,5,42822
2,6,19
2,7,1
2,8,0.38
2,9,0.31
2,10,0.24
2,11,0.32
2,12,0.978
2,13,1
2,14,0.927
2,15,0.948
2,16,84.6
2,17,80.5
2,18,13.4
2,19,13
2,20,34271
2,21,51386
2,22,30.5
2,23,91.4
2,24,91.5
2,25,58.6
2,26,24
2,27,28.5
2,28,1.2
2,29,1.6
2,30,89.4
2,31,1.5
2,32,15.8999996185
2,33,3.6
2,34,37.5
2,35,28.2
2,36,22.7
2,37,1.8
2,38,1.9
2,39,NULL
2,40,8
2,41,7
2,42,2
2,43,3
2,44,3.8
2,45,NULL
2,46,NULL
2,47,NULL
2,48,0.2
2,49,0.2
2,50,24.9
2,51,32.7
2,52,6.3
2,53,60.7
2,54,64.7
2,55,2.6
2,56,69.5
2,57,6.3
2,58,13.5
2,59,9.8
2,60,NULL
2,61,NULL
2,62,NULL
2,63,NULL
2,64,83
2,65,84.6
2,66,32.2000007629
2,67,0.861
2,68,8.2
2,69,-1
2,70,8
2,71,4.3
2,72,0.921
2,73,1.9
2,74,0.921
2,75,17.7
2,76,0.753
2,77,6
2,78,1.4
2,79,34.9
3,1,2
3,2,0.939
3,3,83.1
3,4,13.4
3,5,56364
3,6,7
3,7,0
3,8,0.67
3,9,0.49
3,10,0.16
3,11,0.49
3,12,0.974
3,13,2
3,14,0.926
3,15,0.951
3,16,85.1
3,17,81
3,18,13.3
3,19,13.5
3,20,46798
3,21,66116
3,22,28.9
3,23,96.1
3,24,97.4
3,25,62.7
3,26,8.3000001907
3,27,9.1999998093
3,28,0.7
3,29,1.2
3,30,73.9
3,31,0.4
3,32,5.5999999046
3,33,1.5
3,34,42.3
3,35,22
3,36,26.9
3,37,1.4
3,38,1.5
3,39,NULL
3,40,2
3,41,7
3,42,NULL
3,43,3.4
3,44,3.9
3,45,NULL
3,46,NULL
3,47,NULL
3,48,0.1
3,49,NULL
3,50,25
3,51,40.5
